,Q1_Age,Q2_Gender,Q3_Education,Q4_Native,Q5_Marital_status,Q6_Family,Q7_First_Job_HK,Q8_HK_Segment,Q9_Vendor_Name,Q9A_Client_Name,Q9B_Year_Joining,Q10_Emp._Type,Q11_Job_Lead,Q12_Reason,Q13_TrainingProvided,Q14_TrainingCommunication,Q14B_TrainingGrooming,Q14C_TrainingChemical,Q14D_TrainingMoppingTechniq,Q14E_TrainingMopMachine,Q15A_FormalRecruitment,Q15B_English_Knowledge,Q15C_Look_Presentable,Q15D_Written_contract,Q15E_Reporting_at_Work,Q15F_Supervisor_Strictness,Q15G_Worklife_Balance,Q15H_Union,Q16_Work_Days,Q17_WorkHours_Daily,Q18_OvertimeHours,Q19_Overtime_Freq,Q20_LongTerm_CareerPlan,Q21_Investment_PersonalDevelopment,Q22_Monthly_Income,Q23_Payment_Method,Q24_Second_Job,Q25_Remittence_to_Home,Q26_OtherEarning_Members,Q27_Leaves_Entitled,Q28_Leaves_Paid,Q29A_TimelyPayment,Q29B_PayHike,Q29C_PaidLeavePayment,Q29D_WageNegotiation,Q30A_ESIC,Q30B_Pension,Q30C_Bonus,Q30D_Gratuity,Q30E_ProvidentFund,Q30F_Loan,Q30G_LifeInsur,Q31A_JobSatisfaction,Q31B_SalarySatisfaction,Q31C_WorkingHours_Satisfaction,Q31D_HKstaffTreatment_Satisfaction,Q32A_Penalty_breaking_things,Q32B_Job_Security,Q32C_Attrition_Rate,Q32D_Meeting_Expenses,Q32E_Recommend_Friend,Q32F_Uniform_complementary,Q32G_Prmotion_Supervisor
13,36-40,Male,Stand. 1-5,Mumbai,Married,Yes,2010,Call center or MNC HK,PSIPL,Accenture,2010,Renewable fix term,Personal contact,999.0,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,5-6 hours,six,2-3 times in a week,Not sure about it,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,no,yes,no,yes,yes,yes
14,31-35,Male,10th pass,Mumbai,Married,Yes,2013,Call center or MNC HK,DTTS,Deustche bank,2013,Renewable fix term,Personal contact,Other reason,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,5-6 hours,six,2-3 times in a week,Not sure about it,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,not sure/undecided,no,yes,no,not sure/undecided,yes,yes
15,41-45,Male,Stand. 1-5,Mumbai,Married,Yes,2007,Call center or MNC HK,PSIPL,Accenture,2007,Renewable fix term,Job advertisement,worked elsewhere but found this better,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,not sure/undecided,no,six,5-6 hours,six,2-3 times in a week,Remain in HK sector,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,no,yes,no,not sure/undecided,yes,yes
16,26-30,Male,Stand. 1-5,Mumbai,Married,Yes,2009,Call center or MNC HK,PSIPL,Accenture,2009,Renewable fix term,Personal contact,Found no better job,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,5-6 hours,six,2-3 times in a week,Will switch to other sector,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,yes,yes,yes
17,36-40,Male,Stand. 6-9,Mumbai,Married,Yes,2008,Call center or MNC HK,DTS,Deustche,2008,Renewable fix term,Job advertisement,Best possible job for given qualification,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,More than 12,six,2-3 times in a week,Not sure about it,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,no,yes,no,not sure/undecided,yes,yes
18,26-30,Male,10th pass,Mumbai,Single,Yes,2008,Call center or MNC HK,DTTS,Deustche,2008,Verbal,Personal contact,Friend/family memebrs are here,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,5-6 hours,six,2-3 times in a week,Prepraing for better career elsewhere,Yes,7001-10000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,no,no,yes,niether satisfied nor dis-satisfied,no,not sure/undecided,yes,no,no,yes,yes
19,26-30,Female,10th pass,Mumbai,Married,Yes,2011,Call center or MNC HK,PSIPL, Accenture,2011,Renewable fix term,Personal contact,friend/family encouraged,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,1-4 hours,four,2-3 times in a week,Not sure about it,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,no,yes,no,not sure/undecided,yes,yes
20,20-25,Male,Stand. 6-9,Mumbai,Married,Yes,2008,Call center or MNC HK,PSIPL,Accenture,2008,Renewable fix term,Personal contact,999.0,yes,yes,yes,yes,no,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,7-8 hours,six,2-3 times in a week,Not sure about it,Yes,7001-10000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,no,yes,no,999.0,yes,yes
21,Below 20,Male,10th pass,Mumbai,Married,Yes,2005,Call center or MNC HK,PSIPL,Accenture,2005,Renewable fix term,Personal contact,Best possible job for given qualification,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,5-6 hours,four,2-3 times in a week,Prepraing for better career elsewhere,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,no,yes,no,not sure/undecided,yes,yes
22,20-25,Male,Stand. 6-9,Mumbai,Married,Yes,2009,Call center or MNC HK,PSIPL,Accenture,2009,Renewable fix term,Job advertisement,Better pay and benefits than elsewhere where they can get employment,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,7-8 hours,six,2-3 times in a week,Not sure about it,Yes,7001-10000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,no,yes,no,not sure/undecided,yes,yes
23,20-25,Male,Stand. 6-9,Mumbai,Married,Yes,2013,Call center or MNC HK,PSIPL,Accenture,2013,Renewable fix term,Personal contact,worked elsewhere but found this better,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,5-6 hours,six,2-3 times in a week,Not sure about it,Yes,7001-10000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,no,yes,no,not sure/undecided,yes,yes
24,20-25,Female,Stand. 1-5,Mumbai,Married,Yes,2011,Call center or MNC HK,PSIPL,Accenture,2011,Renewable fix term,Personal contact,Found no better job,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,5-6 hours,four,Daily,Not sure about it,Yes,7001-10000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,yes
25,26-30,Male,Stand. 6-9,Mumbai,Married,Yes,2010,Call center or MNC HK,DTTS,Deustche bank,2010,Renewable fix term,Personal contact,Found no better job,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,5-6 hours,six,2-3 times in a week,Will switch to personal business,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,no,yes,no,not sure/undecided,yes,yes
26,26-30,Male,Stand. 6-9,Mumbai,Married,Yes,2009,Call center or MNC HK,PSIPL,Accenture,2009,Renewable fix term,Personal contact,Best possible job for given qualification,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,5-6 hours,six,2-3 times in a week,Not sure about it,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,no,no,no,yes,no,not sure/undecided,yes,no
27,31-35,Male,Stand. 6-9,Mumbai,Married,Yes,2010,Call center or MNC HK,PSIPL,Accenture,2010,Renewable fix term,Personal contact,Found no better job,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,5-6 hours,six,2-3 times in a week,Not sure about it,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,no
28,46-50,Male,Stand. 1-5,Mumbai,Married,Yes,2007,Call center or MNC HK,DTTS,Deustche bank,2007,Renewable fix term,Personal contact,Friend/family memebrs are here,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,5-6 hours,six,2-3 times in a week,Not sure about it,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,yes,niether satisfied nor dis-satisfied,yes,yes,no,no,yes,no,not sure/undecided,yes,not sure/undecided
29,26-30,Male,Stand. 6-9,Mumbai,Single,Yes,2005,Call center or MNC HK,PSIPL,Accenture,2005,Renewable fix term,Personal contact,Best possible job for given qualification,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,six,5-6 hours,six,2-3 times in a week,Will switch to personal business,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,no,yes,no,not sure/undecided,yes,not sure/undecided
30,26-30,Male,10th pass,Mumbai,Married,Yes,2003,Call center or MNC HK,PSIPL,Accenture,2003,Renewable fix term,Personal contact,Found no better job,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,not sure/undecided,yes,no,six,5-6 hours,four,2-3 times in a week,Not sure about it,Yes,7001-10000,Bank payment,Yes,Yes,999.0,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,not sure/undecided,yes,no
31,26-30,Male,Stand. 1-5,Mumbai,Married,Yes,2008,Call center or MNC HK,PSIPL,Accenture,2008,Renewable fix term,Personal contact,worked elsewhere but found this better,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,six,7-8 hours,six,2-3 times in a week,Not sure about it,No,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,No,Yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes
32,20-25,Male,Stand. 6-9,Mumbai,Single,Yes,2011,Call center or MNC HK,DTTS,Deustche bank,2011,Verbal,Walk in,Found no better job,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,7-8 hours,six,2-3 times in a week,Not sure about it,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,No,Yes,yes,yes,yes,no,no,no,yes,yes,niether satisfied nor dis-satisfied,no,yes,yes,no,no,yes,no,no,no,yes
33,26-30,Male,Stand. 6-9,Mumbai,Married,Yes,2005,Call center or MNC HK,PSIPL,Accenture,2005,Renewable fix term,Personal contact,Better pay and benefits than elsewhere where they can get employment,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,six,7-8 hours,six,2-3 times in a week,Not sure about it,I plan to do so in future,7001-10000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,No,Yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes
34,26-30,Male,Stand. 6-9,Mumbai,Married,Yes,2008,Call center or MNC HK,PSIPL,BoA,2008,Renewable fix term,Personal contact,Found no better job,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,six,7-8 hours,six,2-3 times in a week,Will switch to other sector,No,5001-7000,Bank payment,No,Yes,no,Weekely off,Up to 22 days,Yes,No,Yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes
35,36-40,Male,10th pass,Mumbai,Married,Yes,2011,Call center or MNC HK,DTTS,Deustche bank,2011,Renewable fix term,Personal contact,Found no better job,yes,yes,yes,yes,yes,yes,no,not sure/undecided,yes,yes,yes,yes,yes,no,six,7-8 hours,six,2-3 times in a week,Not sure about it,No,5001-7000,Bank payment,No,Yes,no,Weekely off,Up to 22 days,Yes,No,Yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes
36,26-30,Male,10th pass,Mumbai,Single,Yes,2004,Call center or MNC HK,PSIPL,Accenture,2003,Renewable fix term,Personal contact,worked elsewhere but found this better,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,six,7-8 hours,six,2-3 times in a week,Prepraing for better career elsewhere,No,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Not applicable/no idea,Yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes
37,36-40,Female,Stand. 1-5,Mumbai,Married,Yes,2008,Call center or MNC HK,PSIPL,BoA,2008,Renewable fix term,Personal contact,Best possible job for given qualification,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,six,7-8 hours,six,2-3 times in a week,Will switch to other sector,No,5001-7000,Bank payment,No,Yes,no,Weekely off,Up to 22 days,Yes,Not applicable/no idea,Yes,yes,no,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,niether satisfied nor dis-satisfied,yes,yes,no,no,no,no,no,yes,yes
38,20-25,Male,Stand. 1-5,Mumbai,Single,Yes,2008,Call center or MNC HK,PSIPL,Accenture,2008,Renewable fix term,Personal contact,Found no better job,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,six,7-8 hours,six,2-3 times in a week,Will switch to other sector,No,5001-7000,Bank payment,No,Yes,no,Weekely off,Up to 22 days,Yes,No,Yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes
39,31-35,Female,Stand. 1-5,Mumbai,Married,Yes,2014,Call center or MNC HK,PSIPL,BoA,2014,Renewable fix term,Personal contact,Best possible job for given qualification,yes,yes,yes,yes,yes,yes,no,not sure/undecided,yes,yes,yes,yes,yes,no,six,7-8 hours,four,2-3 times in a week,Will switch to personal business,I plan to do so in future,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,No,Yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,not sure/undecided,no,no,yes,yes
40,31-35,Female,Stand. 1-5,Mumbai,Married,Yes,2013,Call center or MNC HK,DTTS,Deustche bank,2013,Renewable fix term,Private consultancy,Found no better job,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,six,7-8 hours,six,2-3 times in a week,Not sure about it,I plan to do so in future,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Not applicable/no idea,Yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,no
