,sex,jbstatus,age,tenure,ethnicity,ManMot1,ManMot2,ManMot3,ManMot4,ocb1,ocb2,ocb3,ocb4,aut1,aut2,aut3,Justice1,Justice2,Justice3,JobSat1,JobSat2,Quit1,Quit2,Quit3,Man1,Man2,Man3,Eng1,Eng2,Eng3,Eng4,pos1,pos2,pos3
22,female,permanent,20-25,1.2,White British,disagree,strongly agree,neither,agree,I always do this,I frequently do this,I frequently do this,I never do this,strongly agree,neither,agree,neither,disagree,disagree,neither,agree,neither,neither,neither,neither,neither,neither,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree
23,female,permanent,46-50,12.0,White British,neither,strongly agree,neither,agree,I frequently do this,I sometimes do this,I sometimes do this,I occasionally do this,neither,disagree,agree,agree,agree,strongly disagree,agree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,neither,agree,strongly agree,strongly agree,strongly agree,strongly agree,agree,agree,neither
24,,permanent,51-55,14.0,White British,neither,agree,neither,agree,I sometimes do this,I sometimes do this,I sometimes do this,I occasionally do this,,,,,,,,,disagree,disagree,disagree,agree,agree,agree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,agree,strongly disagree
25,female,permanent,46-50,19.0,White British,neither,strongly agree,neither,strongly agree,I always do this,I frequently do this,I frequently do this,I never do this,neither,neither,agree,strongly disagree,strongly disagree,strongly disagree,agree,neither,strongly disagree,strongly disagree,strongly disagree,neither,neither,neither,neither,neither,neither,neither,disagree,neither,neither
26,female,permanent,36-40,4.0,White British,neither,neither,neither,neither,I always do this,I frequently do this,I frequently do this,I frequently do this,strongly agree,strongly agree,strongly agree,neither,neither,disagree,agree,agree,strongly disagree,strongly disagree,strongly disagree,agree,agree,agree,strongly agree,strongly agree,strongly agree,strongly agree,neither,neither,neither
27,female,permanent,31-35,1.0,White British,disagree,agree,disagree,disagree,I frequently do this,I frequently do this,I frequently do this,I sometimes do this,neither,agree,agree,neither,neither,neither,neither,agree,disagree,disagree,disagree,agree,agree,agree,strongly disagree,agree,neither,disagree,neither,agree,neither
28,female,permanent,20-25,1.0,White British,strongly agree,strongly agree,strongly agree,strongly agree,I frequently do this,I always do this,I always do this,I sometimes do this,strongly agree,agree,agree,neither,neither,neither,agree,agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,agree,disagree
29,female,permanent,41-45,15.0,White British,agree,agree,agree,agree,I frequently do this,I frequently do this,I frequently do this,I frequently do this,strongly agree,strongly agree,agree,strongly disagree,disagree,disagree,agree,agree,agree,agree,agree,neither,disagree,neither,,neither,neither,neither,strongly disagree,strongly agree,strongly agree
30,female,permanent,46-50,9.0,White British,neither,strongly agree,neither,agree,I frequently do this,I frequently do this,I frequently do this,I occasionally do this,agree,agree,agree,neither,neither,neither,agree,agree,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,disagree
31,female,permanent,41-45,2.75,White British,neither,agree,neither,neither,I always do this,I always do this,I always do this,I occasionally do this,strongly agree,strongly agree,strongly agree,agree,agree,agree,strongly agree,strongly agree,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,agree,neither,neither,neither
