,sex,jbstatus,age,tenure,ethnicity,ManMot1,ManMot2,ManMot3,ManMot4,ocb1,ocb2,ocb3,ocb4,aut1,aut2,aut3,Justice1,Justice2,Justice3,JobSat1,JobSat2,Quit1,Quit2,Quit3,Man1,Man2,Man3,Eng1,Eng2,Eng3,Eng4,pos1,pos2,pos3
208,male,permanent,41-45,1.0,White British,strongly agree,strongly agree,strongly agree,strongly agree,I sometimes do this,I occasionally do this,I occasionally do this,I frequently do this,strongly agree,strongly agree,strongly agree,agree,agree,agree,agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,neither,agree,agree,neither,strongly agree,agree,agree
209,female,permanent,51-55,20.0,White British,strongly disagree,neither,strongly disagree,strongly disagree,I always do this,I always do this,I frequently do this,I always do this,neither,neither,agree,disagree,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,agree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,neither,disagree
210,female,permanent,51-55,2.5,White British,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I frequently do this,I frequently do this,I always do this,strongly agree,strongly agree,strongly agree,neither,neither,neither,agree,agree,agree,agree,disagree,neither,neither,neither,disagree,disagree,disagree,disagree,neither,strongly agree,strongly agree
211,male,permanent,51-55,19.0,White British,agree,strongly agree,neither,neither,I frequently do this,I frequently do this,I frequently do this,I always do this,agree,agree,strongly agree,agree,agree,neither,agree,agree,neither,neither,neither,agree,neither,neither,agree,agree,neither,neither,strongly disagree,strongly disagree,strongly disagree
212,female,permanent,31-35,0.5,White British,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I sometimes do this,I frequently do this,I sometimes do this,agree,agree,agree,neither,neither,neither,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,agree,agree,agree
213,male,permanent,41-45,0.25,White British,strongly agree,agree,agree,agree,,,,,agree,agree,neither,disagree,neither,strongly disagree,,agree,disagree,disagree,neither,disagree,strongly disagree,disagree,neither,agree,agree,agree,agree,agree,agree
214,female,permanent,36-40,2.5,White British,agree,strongly agree,agree,strongly agree,I always do this,I always do this,I always do this,I always do this,strongly agree,agree,agree,agree,agree,agree,strongly agree,strongly agree,disagree,disagree,disagree,neither,neither,neither,agree,agree,agree,agree,neither,neither,neither
215,female,permanent,56 +,6.0,White British,,,,,I frequently do this,I frequently do this,I frequently do this,I occasionally do this,neither,neither,neither,strongly disagree,strongly disagree,strongly disagree,,disagree,neither,agree,neither,neither,neither,neither,disagree,disagree,disagree,disagree,disagree,disagree,strongly disagree
216,female,permanent,26-30,2.0,White British,neither,agree,neither,agree,I frequently do this,I frequently do this,I frequently do this,I sometimes do this,agree,agree,agree,neither,neither,disagree,agree,agree,disagree,strongly disagree,neither,neither,neither,neither,agree,agree,neither,agree,agree,neither,neither
217,male,permanent,36-40,1.0,White - Other,agree,agree,agree,agree,I sometimes do this,I never do this,I never do this,I never do this,disagree,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,strongly agree,strongly agree,strongly agree,agree,neither,neither,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,neither,neither
218,male,permanent,51-55,0.75,White - Other,agree,agree,agree,agree,I always do this,I always do this,I frequently do this,I never do this,agree,agree,agree,neither,neither,neither,agree,agree,strongly disagree,strongly disagree,strongly disagree,neither,neither,neither,agree,agree,agree,agree,neither,neither,neither
219,male,permanent,41-45,1.0,White British,agree,agree,agree,agree,I frequently do this,I frequently do this,I sometimes do this,I occasionally do this,neither,neither,neither,disagree,neither,neither,agree,neither,neither,agree,neither,agree,agree,agree,neither,neither,neither,neither,neither,neither,neither
220,male,permanent,20-25,0.5,White British,agree,agree,neither,strongly agree,I frequently do this,I frequently do this,I frequently do this,I sometimes do this,strongly agree,agree,agree,agree,neither,neither,strongly agree,agree,neither,neither,neither,agree,agree,neither,disagree,neither,neither,neither,disagree,neither,disagree
221,female,permanent,36-40,5.0,White British,agree,agree,agree,agree,I always do this,I always do this,I always do this,I never do this,strongly agree,agree,agree,neither,neither,strongly disagree,disagree,disagree,disagree,disagree,neither,agree,agree,agree,strongly agree,strongly agree,agree,strongly agree,disagree,neither,disagree
222,female,permanent,31-35,7.0,White British,strongly agree,strongly agree,agree,agree,I frequently do this,I frequently do this,I frequently do this,I occasionally do this,agree,agree,agree,neither,neither,agree,agree,agree,strongly disagree,strongly disagree,strongly disagree,agree,agree,agree,agree,neither,agree,agree,neither,neither,neither
223,female,permanent,41-45,1.75,White British,agree,agree,agree,agree,I sometimes do this,I sometimes do this,I occasionally do this,I always do this,strongly agree,strongly agree,strongly agree,neither,neither,neither,neither,neither,neither,neither,neither,agree,agree,agree,disagree,agree,neither,neither,neither,neither,neither
224,female,permanent,56 +,1.0,White British,agree,agree,disagree,neither,I always do this,I frequently do this,I sometimes do this,I occasionally do this,strongly agree,strongly agree,agree,neither,neither,disagree,strongly agree,agree,strongly disagree,strongly disagree,strongly disagree,agree,agree,agree,disagree,neither,neither,agree,disagree,neither,disagree
225,female,permanent,56 +,1.0,White British,agree,strongly agree,agree,strongly agree,I sometimes do this,I sometimes do this,I occasionally do this,I sometimes do this,agree,agree,agree,neither,neither,disagree,neither,neither,neither,neither,neither,neither,disagree,neither,neither,neither,neither,neither,disagree,disagree,disagree
226,male,permanent,41-45,1.0,White British,agree,strongly agree,agree,agree,I always do this,I frequently do this,I always do this,I always do this,agree,agree,agree,agree,agree,disagree,agree,neither,disagree,strongly disagree,disagree,neither,agree,neither,agree,agree,agree,agree,disagree,disagree,disagree
227,male,permanent,36-40,1.5,White British,strongly agree,strongly agree,strongly agree,strongly agree,I frequently do this,I frequently do this,I sometimes do this,I always do this,strongly agree,strongly agree,strongly agree,agree,agree,agree,strongly agree,strongly agree,disagree,disagree,strongly disagree,strongly agree,strongly agree,strongly agree,agree,agree,agree,agree,agree,agree,neither
228,female,permanent,20-25,0.1,White British,agree,strongly agree,strongly agree,strongly agree,I always do this,I always do this,I frequently do this,I sometimes do this,neither,neither,agree,neither,disagree,disagree,agree,agree,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,neither
229,female,permanent,46-50,1.5,White British,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I always do this,I always do this,I always do this,strongly agree,strongly agree,strongly agree,agree,agree,strongly agree,agree,agree,disagree,disagree,disagree,strongly agree,strongly agree,strongly agree,neither,agree,agree,agree,agree,agree,agree
230,female,temporary,51-55,1.0,White British,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I always do this,I always do this,I always do this,agree,neither,,neither,neither,neither,strongly agree,agree,disagree,disagree,disagree,agree,agree,agree,agree,,agree,agree,neither,neither,neither
231,female,permanent,41-45,1.5,White British,agree,strongly agree,agree,strongly agree,I always do this,I sometimes do this,I occasionally do this,I frequently do this,strongly agree,strongly agree,strongly agree,neither,neither,neither,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,neither,agree,neither
232,female,permanent,41-45,4.0,White British,strongly disagree,strongly disagree,strongly disagree,strongly disagree,I always do this,I always do this,I always do this,I always do this,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree
233,male,fixed term,56 +,6.0,White British,agree,agree,agree,strongly agree,I always do this,I occasionally do this,I occasionally do this,I never do this,strongly agree,strongly agree,strongly agree,neither,neither,neither,strongly agree,strongly agree,disagree,disagree,neither,strongly agree,strongly agree,strongly agree,agree,agree,agree,agree,neither,neither,neither
234,female,permanent,51-55,4.0,White British,strongly agree,strongly agree,strongly agree,strongly agree,I sometimes do this,I sometimes do this,I sometimes do this,I sometimes do this,neither,neither,neither,neither,neither,neither,agree,agree,neither,neither,neither,agree,agree,agree,neither,neither,neither,neither,neither,neither,neither
235,female,permanent,26-30,0.5,White British,neither,agree,neither,disagree,I always do this,I always do this,I frequently do this,I sometimes do this,neither,disagree,disagree,neither,neither,neither,disagree,disagree,disagree,disagree,disagree,agree,agree,agree,disagree,neither,strongly agree,agree,neither,neither,neither
236,male,permanent,36-40,1.0,White British,strongly agree,strongly agree,strongly agree,strongly agree,I frequently do this,I sometimes do this,I frequently do this,I occasionally do this,strongly agree,strongly agree,strongly agree,neither,neither,neither,agree,strongly agree,disagree,disagree,disagree,neither,neither,neither,neither,agree,agree,agree,neither,neither,disagree
237,male,permanent,51-55,1.25,White British,agree,strongly agree,neither,agree,I always do this,I frequently do this,I frequently do this,I always do this,agree,neither,agree,neither,neither,neither,agree,agree,disagree,disagree,disagree,agree,agree,agree,disagree,agree,agree,neither,strongly disagree,strongly agree,strongly disagree
238,female,fixed term,41-45,0.5,White British,strongly agree,strongly agree,strongly agree,strongly agree,I frequently do this,I sometimes do this,I always do this,I always do this,strongly agree,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,agree,agree,disagree,disagree,disagree,agree,agree,agree,neither,neither,disagree,disagree,disagree,strongly disagree,neither
239,female,permanent,20-25,1.0,White British,agree,neither,neither,neither,I sometimes do this,I never do this,I never do this,I sometimes do this,neither,disagree,disagree,neither,neither,neither,neither,neither,disagree,neither,neither,agree,agree,agree,neither,agree,agree,neither,neither,disagree,disagree
240,female,permanent,56 +,25.0,White British,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I always do this,,,agree,neither,neither,neither,neither,neither,strongly agree,strongly agree,disagree,disagree,disagree,agree,agree,neither,agree,agree,agree,agree,agree,disagree,disagree
241,female,temporary,56 +,0.5,White British,agree,agree,neither,agree,I frequently do this,I frequently do this,I sometimes do this,I occasionally do this,neither,agree,neither,neither,neither,neither,agree,neither,neither,neither,agree,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither
242,female,permanent,46-50,3.5,White British,agree,agree,agree,agree,I frequently do this,I sometimes do this,I sometimes do this,I occasionally do this,neither,neither,neither,agree,neither,neither,agree,agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,agree,agree,agree,agree,agree,agree,agree
243,female,permanent,36-40,9.5,White British,,agree,,neither,I frequently do this,I always do this,I sometimes do this,I never do this,neither,disagree,neither,neither,neither,disagree,neither,neither,disagree,strongly disagree,disagree,disagree,disagree,disagree,agree,agree,agree,agree,neither,neither,neither
244,female,permanent,36-40,5.0,White British,disagree,agree,neither,neither,I always do this,I always do this,I always do this,I never do this,disagree,disagree,neither,disagree,disagree,strongly disagree,agree,disagree,strongly disagree,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,disagree,strongly disagree
245,male,permanent,46-50,0.75,White - Other,strongly agree,agree,strongly agree,agree,I frequently do this,I frequently do this,I sometimes do this,I always do this,agree,strongly agree,agree,agree,agree,neither,strongly agree,agree,strongly disagree,strongly disagree,strongly disagree,agree,agree,agree,strongly agree,strongly agree,strongly agree,strongly agree,agree,neither,neither
246,female,permanent,36-40,5.0,White British,strongly disagree,strongly disagree,strongly disagree,strongly disagree,I frequently do this,I frequently do this,I frequently do this,I always do this,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,disagree,disagree,disagree,strongly disagree,disagree,disagree,strongly disagree,neither,strongly disagree,strongly disagree,strongly disagree
247,female,permanent,51-55,,White British,agree,strongly agree,agree,agree,I frequently do this,I frequently do this,I sometimes do this,I occasionally do this,agree,agree,disagree,disagree,disagree,strongly disagree,agree,agree,neither,agree,disagree,neither,disagree,neither,agree,agree,neither,agree,disagree,disagree,disagree
248,female,permanent,41-45,23.0,White British,agree,agree,agree,neither,I sometimes do this,I occasionally do this,I occasionally do this,I frequently do this,neither,neither,disagree,neither,neither,neither,agree,agree,disagree,disagree,disagree,neither,neither,neither,agree,agree,agree,agree,neither,neither,neither
249,female,permanent,20-25,1.75,White British,strongly agree,strongly agree,strongly agree,strongly agree,I frequently do this,I frequently do this,I frequently do this,I frequently do this,strongly agree,agree,strongly agree,disagree,neither,neither,agree,agree,neither,neither,neither,neither,neither,neither,disagree,neither,neither,disagree,neither,neither,neither
250,female,permanent,41-45,1.0,White British,agree,strongly agree,agree,agree,I always do this,I always do this,I always do this,I sometimes do this,agree,agree,agree,neither,neither,neither,agree,agree,disagree,disagree,disagree,strongly agree,strongly agree,strongly agree,agree,neither,agree,neither,agree,disagree,disagree
251,female,permanent,26-30,,White British,strongly agree,strongly agree,agree,agree,I always do this,I sometimes do this,I sometimes do this,I frequently do this,strongly agree,strongly agree,strongly agree,neither,neither,neither,agree,agree,disagree,disagree,disagree,agree,agree,agree,,neither,neither,neither,neither,neither,neither
252,female,permanent,36-40,0.7,White British,disagree,agree,disagree,neither,I always do this,I always do this,I always do this,I always do this,agree,agree,agree,neither,disagree,disagree,agree,agree,neither,neither,neither,agree,agree,agree,neither,neither,neither,neither,neither,neither,neither
253,male,permanent,31-35,6.8,White British,neither,strongly agree,neither,agree,I sometimes do this,I sometimes do this,I sometimes do this,I occasionally do this,agree,agree,agree,strongly disagree,strongly disagree,strongly disagree,agree,agree,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,disagree
254,female,permanent,36-40,6.0,White British,neither,strongly agree,neither,agree,I frequently do this,I frequently do this,I always do this,I never do this,agree,agree,agree,neither,neither,neither,agree,agree,disagree,strongly disagree,strongly disagree,neither,agree,agree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,disagree,disagree
255,female,permanent,56 +,8.0,White British,agree,strongly agree,strongly agree,agree,I always do this,I frequently do this,I always do this,I frequently do this,strongly agree,agree,agree,neither,neither,neither,agree,agree,strongly agree,neither,agree,neither,neither,neither,disagree,neither,neither,disagree,,,
256,female,permanent,20-25,0.5,White British,strongly agree,strongly agree,strongly agree,agree,I frequently do this,I frequently do this,I sometimes do this,I always do this,agree,agree,agree,agree,strongly agree,agree,strongly agree,agree,disagree,disagree,disagree,strongly agree,strongly agree,agree,neither,neither,neither,neither,neither,agree,agree
257,female,permanent,56 +,16.0,White British,neither,disagree,neither,disagree,I frequently do this,I frequently do this,I frequently do this,I sometimes do this,disagree,disagree,strongly disagree,disagree,disagree,disagree,agree,agree,disagree,disagree,disagree,neither,neither,neither,agree,agree,neither,agree,neither,neither,neither
258,male,permanent,41-45,7.0,White British,agree,strongly agree,strongly agree,strongly agree,I frequently do this,I frequently do this,I frequently do this,I never do this,neither,neither,neither,disagree,disagree,strongly disagree,agree,disagree,disagree,disagree,disagree,neither,neither,neither,disagree,disagree,disagree,disagree,neither,neither,disagree
259,male,permanent,51-55,6.0,White British,agree,strongly agree,agree,agree,I frequently do this,I sometimes do this,I sometimes do this,I sometimes do this,strongly agree,agree,agree,agree,agree,neither,agree,agree,disagree,disagree,disagree,agree,agree,agree,neither,agree,agree,agree,neither,neither,neither
260,male,permanent,26-30,1.0,Black - African,strongly disagree,strongly agree,strongly disagree,disagree,I frequently do this,I always do this,I frequently do this,I never do this,agree,agree,agree,neither,neither,strongly disagree,neither,agree,disagree,disagree,neither,neither,neither,neither,agree,agree,agree,agree,,,
261,female,casual,56 +,0.3,White British,agree,agree,agree,agree,I occasionally do this,I always do this,I sometimes do this,I never do this,strongly disagree,strongly disagree,strongly disagree,,,,agree,agree,agree,neither,strongly agree,neither,agree,agree,disagree,agree,disagree,disagree,strongly agree,disagree,strongly disagree
262,female,permanent,46-50,4.0,White - Other,agree,neither,neither,agree,I always do this,I always do this,I always do this,I always do this,strongly agree,strongly agree,strongly agree,neither,neither,disagree,strongly agree,strongly agree,neither,neither,neither,agree,agree,agree,neither,agree,agree,neither,disagree,neither,neither
263,female,permanent,51-55,12.0,White British,neither,agree,neither,neither,I always do this,I frequently do this,I frequently do this,I sometimes do this,agree,agree,agree,neither,neither,neither,agree,,neither,neither,neither,agree,agree,neither,neither,agree,agree,neither,neither,neither,neither
264,female,permanent,51-55,5.5,White British,strongly agree,strongly agree,strongly agree,strongly agree,I frequently do this,I occasionally do this,I occasionally do this,I occasionally do this,agree,agree,agree,neither,neither,neither,agree,agree,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree
265,female,permanent,46-50,12.0,White British,agree,neither,neither,agree,I occasionally do this,I frequently do this,I sometimes do this,I never do this,agree,agree,agree,neither,neither,neither,agree,agree,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree
266,female,permanent,20-25,5.0,White British,neither,agree,neither,agree,I sometimes do this,,I occasionally do this,I never do this,agree,disagree,agree,neither,neither,neither,neither,neither,disagree,neither,neither,neither,neither,neither,agree,agree,agree,agree,neither,neither,neither
267,male,permanent,51-55,3.5,White British,neither,neither,disagree,neither,I frequently do this,I frequently do this,I sometimes do this,I never do this,neither,neither,agree,neither,neither,disagree,agree,neither,disagree,disagree,disagree,agree,neither,neither,neither,neither,neither,neither,neither,neither,neither
268,male,permanent,41-45,2.0,White British,strongly agree,strongly agree,agree,agree,I frequently do this,I frequently do this,I sometimes do this,I occasionally do this,agree,agree,agree,neither,neither,neither,strongly agree,agree,strongly disagree,strongly disagree,strongly disagree,agree,agree,agree,neither,agree,agree,agree,agree,agree,agree
269,female,permanent,36-40,1.0,White British,agree,strongly agree,agree,strongly agree,I frequently do this,I occasionally do this,I occasionally do this,I frequently do this,strongly agree,strongly agree,agree,neither,neither,neither,agree,agree,disagree,disagree,disagree,agree,agree,agree,neither,neither,neither,neither,disagree,neither,neither
270,female,permanent,41-45,0.5,White British,agree,agree,agree,agree,I always do this,I always do this,I always do this,I occasionally do this,agree,agree,agree,neither,neither,neither,agree,agree,disagree,disagree,disagree,,,,neither,agree,neither,neither,neither,neither,neither
271,female,fixed term,26-30,0.5,White British,agree,neither,neither,agree,I frequently do this,I frequently do this,I frequently do this,I occasionally do this,agree,agree,agree,neither,neither,disagree,agree,neither,neither,disagree,neither,agree,agree,agree,disagree,neither,neither,neither,disagree,disagree,strongly disagree
272,female,permanent,26-30,0.7,White British,agree,strongly agree,neither,agree,I always do this,I always do this,I always do this,I always do this,strongly agree,neither,agree,neither,neither,neither,strongly agree,agree,neither,disagree,disagree,agree,agree,agree,agree,neither,neither,neither,neither,neither,neither
273,male,permanent,51-55,,White British,neither,agree,neither,agree,I frequently do this,I frequently do this,I sometimes do this,I occasionally do this,agree,neither,agree,neither,neither,neither,agree,agree,disagree,strongly disagree,strongly disagree,neither,neither,neither,agree,agree,strongly agree,agree,neither,neither,neither
274,male,permanent,56 +,4.0,Other - Any other ethnic group,neither,agree,neither,agree,I always do this,I frequently do this,I frequently do this,,strongly agree,strongly agree,strongly agree,,,,neither,neither,disagree,neither,neither,neither,neither,neither,disagree,agree,neither,agree,disagree,disagree,strongly disagree
275,female,permanent,26-30,1.0,White British,strongly agree,strongly agree,strongly agree,agree,I sometimes do this,I sometimes do this,I sometimes do this,I sometimes do this,strongly agree,agree,agree,,,disagree,strongly agree,strongly agree,disagree,disagree,disagree,neither,neither,neither,disagree,agree,agree,agree,agree,disagree,disagree
276,female,permanent,46-50,1.0,White British,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I always do this,I always do this,I always do this,strongly agree,strongly agree,strongly agree,disagree,disagree,disagree,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,neither,neither,neither,agree,agree,agree,agree,neither,neither,neither
277,female,permanent,36-40,1.0,White British,neither,agree,neither,neither,I frequently do this,I always do this,I sometimes do this,I frequently do this,strongly agree,agree,agree,neither,neither,neither,neither,disagree,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,agree,disagree,disagree,disagree
278,female,permanent,41-45,15.0,White British,agree,neither,disagree,disagree,I occasionally do this,I frequently do this,I sometimes do this,I never do this,agree,agree,agree,neither,neither,neither,agree,agree,disagree,disagree,disagree,agree,agree,agree,neither,agree,agree,agree,agree,agree,neither
279,female,permanent,20-25,0.75,White British,strongly agree,strongly agree,strongly agree,strongly agree,I frequently do this,I frequently do this,I frequently do this,I occasionally do this,agree,agree,,agree,agree,agree,strongly agree,agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,agree,strongly agree,agree,strongly agree,strongly agree,strongly agree,agree,agree,agree
280,male,permanent,56 +,2.0,White British,agree,strongly agree,neither,agree,I frequently do this,I frequently do this,I frequently do this,I always do this,strongly agree,strongly agree,strongly agree,agree,agree,agree,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,agree,agree,agree,strongly agree,strongly agree,agree,strongly agree,agree,neither,neither
281,female,permanent,51-55,6.0,White British,strongly disagree,strongly disagree,strongly disagree,strongly disagree,I sometimes do this,I sometimes do this,I sometimes do this,I always do this,strongly agree,agree,agree,neither,neither,neither,strongly agree,strongly agree,disagree,neither,disagree,strongly disagree,disagree,strongly disagree,agree,agree,agree,agree,disagree,strongly disagree,strongly disagree
282,female,permanent,36-40,0.75,White British,agree,strongly agree,neither,agree,I always do this,I always do this,I frequently do this,I always do this,strongly agree,strongly agree,strongly agree,neither,neither,disagree,agree,agree,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,agree,neither,neither,neither
283,female,permanent,36-40,2.75,White British,disagree,strongly agree,disagree,disagree,I frequently do this,I frequently do this,I frequently do this,I sometimes do this,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,agree,agree,agree,disagree,disagree,disagree,disagree,disagree,disagree,disagree
284,female,permanent,36-40,0.0,White British,agree,strongly agree,agree,agree,I frequently do this,I frequently do this,I frequently do this,I frequently do this,strongly agree,disagree,agree,neither,neither,disagree,agree,agree,neither,neither,neither,neither,neither,neither,disagree,neither,neither,neither,neither,neither,disagree
285,male,permanent,36-40,5.0,White British,disagree,neither,disagree,neither,I frequently do this,I frequently do this,I frequently do this,I never do this,agree,neither,agree,disagree,disagree,disagree,neither,neither,strongly agree,strongly agree,strongly agree,neither,neither,neither,disagree,disagree,disagree,disagree,disagree,neither,neither
286,female,permanent,36-40,8.0,White British,neither,neither,neither,neither,I sometimes do this,I frequently do this,I frequently do this,I never do this,agree,disagree,neither,neither,neither,neither,agree,agree,neither,agree,neither,neither,neither,neither,agree,agree,agree,agree,disagree,neither,disagree
287,male,permanent,36-40,15.0,White British,neither,neither,neither,disagree,I sometimes do this,I sometimes do this,I sometimes do this,I sometimes do this,disagree,disagree,disagree,neither,neither,neither,agree,disagree,agree,agree,agree,disagree,neither,disagree,disagree,neither,neither,neither,strongly disagree,strongly disagree,strongly disagree
288,female,permanent,31-35,1.0,White British,agree,strongly agree,neither,agree,I always do this,I frequently do this,I sometimes do this,I occasionally do this,strongly agree,strongly agree,strongly agree,neither,neither,disagree,strongly agree,agree,disagree,disagree,disagree,neither,neither,neither,disagree,neither,neither,agree,neither,neither,neither
289,female,permanent,31-35,0.1,White British,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I frequently do this,I frequently do this,I occasionally do this,,,,,,,,,strongly disagree,strongly disagree,strongly disagree,agree,agree,agree,neither,neither,neither,neither,agree,neither,neither
290,female,permanent,56 +,8.0,White British,agree,strongly agree,agree,agree,I always do this,I always do this,I always do this,I always do this,agree,agree,agree,neither,neither,disagree,strongly agree,strongly agree,disagree,disagree,strongly disagree,agree,agree,agree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,disagree,disagree
291,male,permanent,56 +,1.5,White British,agree,strongly agree,agree,strongly agree,I always do this,I always do this,I always do this,I occasionally do this,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,agree,agree
292,male,permanent,46-50,,White British,neither,agree,neither,agree,I always do this,I sometimes do this,I always do this,I never do this,agree,agree,neither,strongly disagree,strongly disagree,strongly disagree,agree,neither,disagree,neither,neither,neither,neither,neither,,disagree,strongly disagree,agree,disagree,neither,disagree
293,female,permanent,56 +,8.0,White British,agree,strongly agree,neither,agree,I frequently do this,I sometimes do this,I sometimes do this,I frequently do this,strongly agree,strongly agree,strongly agree,neither,neither,neither,agree,agree,strongly disagree,strongly disagree,strongly disagree,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither
294,female,permanent,36-40,7.0,White British,agree,agree,neither,agree,I frequently do this,I sometimes do this,I always do this,I always do this,agree,agree,agree,neither,disagree,disagree,agree,agree,neither,agree,neither,neither,neither,neither,neither,agree,agree,neither,agree,neither,neither
295,female,permanent,26-30,1.0,White British,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I always do this,I always do this,I frequently do this,strongly agree,agree,strongly agree,neither,neither,neither,strongly agree,agree,strongly agree,strongly agree,strongly agree,neither,neither,neither,neither,neither,neither,neither,disagree,agree,agree
296,male,permanent,51-55,1.5,White - Other,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I frequently do this,I frequently do this,I frequently do this,agree,agree,agree,agree,agree,agree,agree,agree,disagree,neither,disagree,neither,neither,neither,strongly agree,strongly agree,strongly agree,strongly agree,agree,agree,neither
297,female,permanent,31-35,11.5,White British,agree,agree,agree,strongly agree,I always do this,I always do this,I always do this,I occasionally do this,agree,agree,neither,neither,neither,neither,agree,agree,neither,neither,neither,agree,agree,agree,disagree,disagree,disagree,disagree,disagree,neither,neither
298,female,permanent,41-45,2.0,White British,agree,agree,neither,agree,I always do this,I always do this,I always do this,I sometimes do this,disagree,neither,agree,neither,neither,disagree,agree,disagree,disagree,agree,disagree,neither,neither,disagree,neither,neither,neither,neither,disagree,disagree,disagree
299,female,permanent,31-35,1.5,White British,agree,disagree,neither,agree,I sometimes do this,I sometimes do this,I sometimes do this,I sometimes do this,disagree,disagree,disagree,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither
300,female,permanent,36-40,0.3,White British,agree,agree,agree,agree,I always do this,I always do this,I always do this,I never do this,agree,agree,agree,neither,neither,neither,agree,agree,disagree,disagree,disagree,agree,agree,agree,agree,agree,neither,agree,neither,agree,agree
301,male,permanent,46-50,18.0,White British,neither,agree,neither,strongly agree,I always do this,I frequently do this,I frequently do this,I frequently do this,agree,agree,agree,neither,neither,strongly disagree,neither,disagree,agree,agree,agree,neither,neither,neither,agree,agree,neither,agree,neither,neither,neither
302,female,permanent,56 +,1.5,White British,neither,agree,neither,strongly agree,I always do this,I always do this,I frequently do this,I always do this,strongly agree,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,disagree,disagree,disagree,strongly agree,strongly agree,strongly agree,neither,strongly agree,neither,strongly agree,disagree,agree,agree
303,female,permanent,,3.0,White British,strongly agree,strongly agree,strongly agree,strongly agree,I sometimes do this,I frequently do this,I frequently do this,I sometimes do this,neither,agree,neither,neither,neither,neither,agree,agree,neither,neither,neither,agree,agree,agree,neither,agree,neither,neither,neither,neither,neither
304,female,permanent,51-55,9.0,White British,neither,disagree,strongly disagree,neither,I always do this,I frequently do this,I always do this,I always do this,strongly agree,strongly agree,strongly agree,neither,neither,neither,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,agree,agree,agree,agree,strongly agree,strongly agree,strongly agree,neither,neither,agree
305,female,permanent,36-40,1.0,White British,strongly disagree,strongly disagree,strongly disagree,strongly disagree,I sometimes do this,I sometimes do this,I occasionally do this,I occasionally do this,strongly agree,strongly agree,agree,neither,neither,disagree,strongly agree,agree,disagree,disagree,disagree,neither,neither,neither,agree,neither,neither,neither,strongly disagree,strongly disagree,strongly disagree
